TreeID,X,Y,Elevation,Height_m,CBH_m,MinCrownDia_m,MaxCrownDia_m,rotation,R,G,B,DBH_m,LeanFromVertical,LeanAzimuth,StatusCode
12_27_THPL,401934.6453,5277802.628,0,13.29244289,7.975465736,2.126790863,2.126790863,0,255,128,0,0.196,0,0,0
12_14_THPL,401929.0135,5277809.253,0,13.18033113,7.908198676,2.10885298,2.10885298,0,204,0,0,0.194,0,0,1
12_42_THPL,401927.2567,5277793.615,0,6.581886539,3.949131924,1.053101846,1.053101846,0,204,0,0,0.089,0,0,1
12_43_THPL,401918.0255,5277798.692,0,10.09319467,6.055916802,1.614911147,1.614911147,0,204,0,0,0.142,0,0,1
12_39_THPL,401930.3819,5277791.542,0,19.41281812,11.64769087,3.106050899,3.106050899,0,255,128,0,0.319,0,0,0
12_28_THPL,401939.3862,5277801.131,0,16.65271816,9.991630898,2.664434906,2.664434906,0,255,128,0,0.26,0,0,0
12_38_THPL,401934.1384,5277791.685,0,18.50925478,11.10555287,2.961480765,2.961480765,0,255,128,0,0.299,0,0,0
12_29_THPL,401940.1523,5277801.077,0,13.29244289,7.975465736,2.126790863,2.126790863,0,255,128,0,0.196,0,0,0
12_2_THPL,401915.7244,5277797.707,0,27.49180453,16.49508272,4.398688724,4.398688724,0,255,128,0,0.532,0,0,0
12_23_THPL,401932.9956,5277817.352,0,24.15378682,14.49227209,3.864605891,3.864605891,0,255,128,0,0.436,0,0,0
12_44_ABAM,401923.5953,5277795.17,0,21.84930846,13.10958508,3.495889354,3.495889354,0,128,128,128,0.316,0,0,0
12_56_PSME,401926.71,5277803.682,0,24.33128944,14.59877366,3.89300631,3.89300631,0,71,183,73,0.335,0,0,0
12_58_PSME,401925.4954,5277799.351,0,14.59837767,8.759026604,2.335740428,2.335740428,0,71,183,73,0.165,0,0,0
12_20_PSME,401930.7359,5277804.778,0,23.74310438,14.24586263,3.798896701,3.798896701,0,71,183,73,0.323,0,0,0
12_22_PSME,401929.638,5277805.643,0,12.3152191,7.389131462,1.970435057,1.970435057,0,71,183,73,0.133,0,0,0
12_11_PSME,401926.2168,5277806.302,0,19.01846437,11.41107862,3.042954299,3.042954299,0,71,183,73,0.235,0,0,0
12_48_PSME,401923.0422,5277801.057,0,19.07680377,11.44608226,3.052288604,3.052288604,0,71,183,73,0.236,0,0,0
12_15_PSME,401930.0108,5277806.945,0,28.23391388,16.94034833,4.517426221,4.517426221,0,71,183,73,0.421,0,0,0
12_59_PSME,401928.4617,5277796.468,0,25.5664923,15.33989538,4.090638768,4.090638768,0,71,183,73,0.361,0,0,0
12_50_PSME,401922.4959,5277802.699,0,8.40659798,5.043958788,1.345055677,1.345055677,0,204,0,0,0.084,0,0,1
12_9_PSME,401925.7901,5277807.358,0,10.78540747,6.471244483,1.725665195,1.725665195,0,204,0,0,0.113,0,0,1
12_10_PSME,401926.0474,5277807.553,0,22.42629453,13.45577672,3.588207124,3.588207124,0,71,183,73,0.297,0,0,0
12_19_PSME,401931.7977,5277806.809,0,16.19435663,9.716613978,2.591097061,2.591097061,0,204,0,0,0.189,0,0,1
12_51_PSME,401921.6285,5277803.163,0,13.48054274,8.088325642,2.156886838,2.156886838,0,204,0,0,0.149,0,0,1
12_3_PSME,401921.8223,5277805.344,0,22.06126833,13.236761,3.529802933,3.529802933,0,71,183,73,0.29,0,0,0
12_12_PSME,401926.6623,5277809.424,0,18.30878955,10.98527373,2.929406328,2.929406328,0,71,183,73,0.223,0,0,0
12_24_PSME,401934.0112,5277806.809,0,23.14277706,13.88566624,3.70284433,3.70284433,0,71,183,73,0.311,0,0,0
12_1_PSME,401920.4503,5277805.441,0,28.40352346,17.04211408,4.544563753,4.544563753,0,71,183,73,0.425,0,0,0
12_6_PSME,401921.4894,5277807.187,0,10.86394697,6.518368181,1.738231515,1.738231515,0,204,0,0,0.114,0,0,1
12_52_RHPU,401923.7299,5277800.627,0,8.198943192,4.919365915,1.311830911,1.311830911,0,204,0,0,0.097,0,0,1
12_57_TSHE,401927.4841,5277802.394,0,13.69628773,8.217772639,2.191406037,2.191406037,0,204,0,0,0.167,0,0,1
12_60_TSHE,401928.6156,5277803.762,0,6.451919942,3.871151965,1.032307191,1.032307191,0,204,0,0,0.08,0,0,1
12_55_TSHE,401925.7361,5277802.244,0,24.93894148,14.96336489,3.990230636,3.990230636,0,32,144,158,0.34,0,0,0
12_54_TSHE,401924.455,5277801.048,0,5.925442533,3.55526552,0.948070805,0.948070805,0,204,0,0,0.074,0,0,1
12_53_TSHE,401924.6114,5277803.291,0,6.013120738,3.607872443,0.962099318,0.962099318,0,204,0,0,0.075,0,0,1
12_21_TSHE,401930.1335,5277804.887,0,9.401186892,5.640712135,1.504189903,1.504189903,0,204,0,0,0.114,0,0,1
12_30_TSHE,401931.3052,5277800.379,0,10.66026226,6.396157358,1.705641962,1.705641962,0,32,144,158,0.129,0,0,0
12_31_TSHE,401931.7456,5277800.174,0,8.285927202,4.971556321,1.325748352,1.325748352,0,204,0,0,0.101,0,0,1
12_32_TSHE,401931.7224,5277799.94,0,5.40072676,3.240436056,0.864116282,0.864116282,0,204,0,0,0.068,0,0,1
12_45_TSHE,401925.8942,5277798.158,0,17.62617037,10.57570222,2.820187259,2.820187259,0,32,144,158,0.221,0,0,0
12_47_TSHE,401923.7442,5277800.632,0,5.313599555,3.188159733,0.850175929,0.850175929,0,204,0,0,0.067,0,0,1
12_35_TSHE,401931.728,5277798.786,0,14.30644856,8.583869134,2.289031769,2.289031769,0,204,0,0,0.175,0,0,1
12_49_TSHE,401922.953,5277801.928,0,4.880098517,2.92805911,0.780815763,0.780815763,0,204,0,0,0.062,0,0,1
12_33_TSHE,401932.1088,5277798.931,0,15.9333865,9.560031901,2.54934184,2.54934184,0,32,144,158,0.197,0,0,0
12_34_TSHE,401932.2712,5277798.579,0,6.539704807,3.923822884,1.046352769,1.046352769,0,204,0,0,0.081,0,0,1
12_5_TSHE,401923.3487,5277805.296,0,4.622229431,2.773337659,0.739556709,0.739556709,0,204,0,0,0.059,0,0,1
12_36_TSHE,401932.3911,5277796.08,0,30.28251218,18.16950731,4.845201949,4.845201949,0,32,144,158,0.446,0,0,0
12_4_TSHE,401922.1231,5277806.186,0,7.241122044,4.344673227,1.158579527,1.158579527,0,204,0,0,0.089,0,0,1
12_7_TSHE,401922.3781,5277807.534,0,4.366583102,2.619949861,0.698653296,0.698653296,0,204,0,0,0.056,0,0,1
12_8_TSHE,401922.4032,5277807.913,0,13.61931063,8.17158638,2.179089701,2.179089701,0,204,0,0,0.166,0,0,1
12_13_TSHE,401926.4957,5277810.369,0,11.72440054,7.034640326,1.875904087,1.875904087,0,204,0,0,0.142,0,0,1
12_37_TSHE,401933.1858,5277795.025,0,7.065996475,4.239597885,1.130559436,1.130559436,0,204,0,0,0.087,0,0,1
12_16_TSHE,401930.744,5277810.956,0,6.451919942,3.871151965,1.032307191,1.032307191,0,204,0,0,0.08,0,0,1
12_18_TSHE,401931.1585,5277811.147,0,8.285927202,4.971556321,1.325748352,1.325748352,0,204,0,0,0.101,0,0,1
12_41_TSHE,401931.0298,5277792.554,0,9.316137385,5.589682431,1.490581982,1.490581982,0,204,0,0,0.113,0,0,1
12_26_TSHE,401936.5732,5277807.089,0,18.97515714,11.38509428,3.036025142,3.036025142,0,32,144,158,0.241,0,0,0
12_17_TSHE,401931.1139,5277811.561,0,20.01634049,12.00980429,3.202614478,3.202614478,0,32,144,158,0.257,0,0,0
12_40_TSHE,401930.2696,5277792.028,0,23.87699057,14.32619434,3.820318491,3.820318491,0,32,144,158,0.321,0,0,0
12_25_TSHE,401935.5961,5277809.279,0,26.23127743,15.73876646,4.197004389,4.197004389,0,32,144,158,0.364,0,0,0
12_46_TSHE,401914.9101,5277793.11,0,11.56238812,6.937432873,1.849982099,1.849982099,0,32,144,158,0.14,0,0,0